datetime,Temp2,Hum2,Pr2,L2
2017-03-24 12:00:00,25.1,79.0,681.9,784.0
2017-03-24 13:00:00,24.9,80.0,681.1,623.0
2017-03-24 14:00:00,25.5,77.0,680.3,670.0
2017-03-24 15:00:00,25.2,76.0,679.8,575.0
2017-03-24 16:00:00,25.4,77.0,679.8,299.0
2017-03-24 17:00:00,24.4,82.0,680.2,181.0
2017-03-24 18:00:00,23.4,82.0,680.7,25.0
2017-03-24 19:00:00,23.1,81.0,681.1,0.0
2017-03-24 20:00:00,23.6,77.0,681.4,0.0
2017-03-24 21:00:00,23.0,86.0,681.7,0.0
2017-03-24 22:00:00,22.8,86.0,682.0,0.0
2017-03-24 23:00:00,22.7,88.0,682.3,0.0
2017-03-25 00:00:00,22.7,86.0,681.7,0.0
2017-03-25 01:00:00,22.2,92.0,681.4,0.0
2017-03-25 02:00:00,22.3,88.0,681.1,0.0
2017-03-25 03:00:00,22.2,93.0,680.5,0.0
2017-03-25 04:00:00,22.2,97.0,680.8,0.0
2017-03-25 05:00:00,22.2,99.0,681.0,0.0
2017-03-25 06:00:00,22.3,100.0,681.4,1.0
2017-03-25 07:00:00,22.4,100.0,682.0,43.0
2017-03-25 08:00:00,22.7,95.0,682.7,173.0
2017-03-25 09:00:00,23.4,91.0,683.0,219.0
2017-03-25 10:00:00,25.3,78.0,682.9,418.0
2017-03-25 11:00:00,26.4,71.0,682.3,919.0
2017-03-25 12:00:00,25.6,73.0,681.6,704.0
2017-03-25 13:00:00,26.8,74.0,680.7,1016.0
2017-03-25 14:00:00,27.2,73.0,679.7,700.0
2017-03-25 15:00:00,27.2,72.0,678.9,764.0
2017-03-25 16:00:00,25.9,76.0,678.8,225.0
2017-03-25 17:00:00,25.6,79.0,678.8,188.0
2017-03-25 18:00:00,24.4,85.0,679.4,43.0
2017-03-25 19:00:00,24.1,86.0,680.2,0.0
2017-03-25 20:00:00,24.1,86.0,680.8,0.0
2017-03-25 21:00:00,24.0,87.0,681.4,0.0
2017-03-25 22:00:00,24.1,87.0,681.4,0.0
2017-03-25 23:00:00,23.7,90.0,681.6,0.0
2017-03-26 00:00:00,23.8,90.0,681.1,0.0
2017-03-26 01:00:00,23.6,93.0,680.9,0.0
2017-03-26 02:00:00,23.6,96.0,680.4,0.0
2017-03-26 03:00:00,22.7,91.0,679.9,0.0
2017-03-26 04:00:00,22.3,93.0,680.1,0.0
2017-03-26 05:00:00,22.6,94.0,680.7,0.0
2017-03-26 06:00:00,22.6,98.0,681.1,0.0
2017-03-26 07:00:00,22.5,95.0,681.7,38.0
2017-03-26 08:00:00,23.1,96.0,682.6,115.0
2017-03-26 09:00:00,23.0,93.0,683.0,121.0
2017-03-26 10:00:00,22.7,90.0,683.1,226.0
2017-03-26 11:00:00,22.4,89.0,682.9,177.0
2017-03-26 12:00:00,22.4,88.0,682.2,167.0
2017-03-26 13:00:00,23.0,82.0,681.6,260.0
2017-03-26 14:00:00,23.4,81.0,680.6,356.0
2017-03-26 15:00:00,25.0,74.0,679.7,677.0
2017-03-26 16:00:00,26.3,71.0,679.5,624.0
2017-03-26 17:00:00,25.8,69.0,679.6,297.0
2017-03-26 18:00:00,24.5,79.0,680.2,88.0
2017-03-26 19:00:00,23.4,90.0,681.2,0.0
2017-03-26 20:00:00,23.0,92.0,681.8,0.0
2017-03-26 21:00:00,23.0,91.0,682.1,0.0
2017-03-26 22:00:00,23.2,90.0,682.6,0.0
2017-03-26 23:00:00,23.1,90.0,682.5,0.0
2017-03-27 00:00:00,22.9,90.0,682.0,0.0
2017-03-27 01:00:00,22.7,89.0,681.4,0.0
2017-03-27 02:00:00,22.7,86.0,681.3,0.0
2017-03-27 03:00:00,22.4,94.0,680.8,0.0
2017-03-27 04:00:00,22.3,94.0,680.9,0.0
2017-03-27 05:00:00,22.4,97.0,681.2,0.0
2017-03-27 06:00:00,22.3,93.0,681.6,0.0
2017-03-27 07:00:00,23.0,94.0,682.1,47.0
2017-03-27 08:00:00,23.1,87.0,682.6,230.0
2017-03-27 09:00:00,23.8,84.0,682.7,371.0
2017-03-27 10:00:00,25.3,77.0,682.4,593.0
2017-03-27 11:00:00,27.6,66.0,681.7,903.0
2017-03-27 12:00:00,27.1,72.0,681.0,753.0
2017-03-27 13:00:00,26.9,71.0,680.2,798.0
2017-03-27 14:00:00,26.9,72.0,679.4,577.0
2017-03-27 15:00:00,26.5,72.0,679.0,665.0
2017-03-27 16:00:00,25.3,78.0,679.1,193.0
2017-03-27 17:00:00,24.9,80.0,679.4,89.0
2017-03-27 18:00:00,24.4,83.0,679.8,26.0
2017-03-27 19:00:00,24.2,86.0,680.2,0.0
2017-03-27 20:00:00,24.2,85.0,680.7,0.0
2017-03-27 21:00:00,24.1,86.0,681.5,0.0
2017-03-27 22:00:00,24.0,87.0,682.2,0.0
2017-03-27 23:00:00,24.0,87.0,682.0,0.0
2017-03-28 00:00:00,23.7,90.0,681.8,0.0
2017-03-28 01:00:00,23.6,89.0,681.2,0.0
2017-03-28 02:00:00,23.3,91.0,680.7,0.0
2017-03-28 03:00:00,23.1,93.0,680.4,0.0
2017-03-28 04:00:00,23.1,91.0,680.1,0.0
2017-03-28 05:00:00,22.7,90.0,680.3,0.0
2017-03-28 06:00:00,22.6,90.0,681.0,0.0
2017-03-28 07:00:00,22.9,88.0,681.8,22.0
2017-03-28 08:00:00,23.6,83.0,682.2,193.0
2017-03-28 09:00:00,24.7,79.0,682.4,468.0
2017-03-28 10:00:00,25.5,75.0,682.3,317.0
2017-03-28 11:00:00,26.7,73.0,681.6,861.0
2017-03-28 12:00:00,27.6,72.0,681.0,837.0
2017-03-28 13:00:00,27.7,67.0,680.1,931.0
2017-03-28 14:00:00,27.8,69.0,679.3,854.0
2017-03-28 15:00:00,27.9,68.0,678.9,744.0
2017-03-28 16:00:00,27.9,68.0,678.7,660.0
2017-03-28 17:00:00,26.4,74.0,679.1,215.0
2017-03-28 17:53:00,25.5,76.0,679.3,49.0
2017-03-28 18:00:00,25.4,77.0,679.2,6.0
2017-03-28 19:00:00,24.8,79.0,680.2,0.0
2017-03-28 20:00:00,24.7,83.0,681.0,0.0
2017-03-28 21:00:00,24.4,82.0,681.4,0.0
2017-03-28 22:00:00,24.1,86.0,681.5,0.0
2017-03-28 23:00:00,24.1,86.0,681.7,0.0
2017-03-29 00:00:00,23.7,88.0,681.5,0.0
2017-03-29 01:00:00,23.4,88.0,681.1,0.0
2017-03-29 02:00:00,22.9,86.0,680.4,0.0
2017-03-29 03:00:00,23.3,89.0,680.4,0.0
2017-03-29 04:00:00,23.1,90.0,680.1,0.0
2017-03-29 05:00:00,22.8,92.0,680.3,0.0
2017-03-29 06:00:00,22.5,89.0,680.6,0.0
2017-03-29 07:00:00,22.9,87.0,680.8,64.0
2017-03-29 08:00:00,24.4,81.0,681.4,255.0
2017-03-29 09:00:00,26.8,71.0,681.6,412.0
